case_file,corpus_side,entity,mention_count,snomed_concept,depth,mapping_status,context_sentence
case_001.txt,A,child's,1,,,unmapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,A,diagnosis,1,439401001,3,mapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,A,family history,1,,,unmapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,A,hemophilia,1,90935002,8,mapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,A,hemorrhagic diseases,1,,,unmapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,A,intensity,1,80035002,11,mapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,A,lesion,1,49755003,3,mapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,A,prolonged,1,255224006,6,mapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,A,sex,1,57312000,5,mapped,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia."
case_001.txt,B,hemophilia a,2,28293008,9,mapped,"Based on the presented vignette, the most probable diagnostic hypothesis appears to be Hemophilia A."
case_001.txt,B,activated partial thromboplastin time,1,,,unmapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,aptt,1,42525009,15,mapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,bernard-soulier disease,1,,,unmapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
