category,case_stem,orig_entity_a,orig_entity_b,context_sentence_a,context_sentence_b,llm_decision,final_entity_a,final_entity_b,rationale,orig_concept_a,orig_concept_b,orig_depth_a,orig_depth_b,snomed_concept_a,snomed_concept_b,depth_a,depth_b,depth_diff_b_minus_a
Per-case hierarchical is-a,case_021.txt,isolated thrombocytopenia,thrombocytopenia,"In the presence of isolated thrombocytopenia we must not lose sight of the physical examination; thus, the presence of lymphadenopathy forces us to rule out the presence of lymphoma, for example.","While these findings can occur in other conditions causing thrombocytopenia, they are not exclusionary criteria for ITP, as the disease primarily manifests through immune-mediated platelet destruction.",SUBSTITUTE,isolated thrombocytopenia,thrombocytopenia,"Although both entities refer to the same condition, 'isolated thrombocytopenia' is a more specific term in this context, as it implies the absence of other causes for thrombocytopenia. To compare SNOMED depth, we suggest 'isolated thrombocytopenia' on both sides.",724637001,70786006,15,10,724637001,70786006,15,10,-5
Per-case hierarchical is-a,case_005.txt,lower limb,leg,,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition.",SUBSTITUTE,lower extremity,thigh,"While 'lower limb' and 'leg' can be used interchangeably, 'thigh' is a more specific term in the model's explanation, and 'lower extremity' is a more general term that encompasses both 'thigh' and 'leg' in the human's explanation, allowing for a fair comparison of SNOMED depth.",61685007,30021000,10,14,61685007,68367000,10,14,4
Per-case hierarchical is-a,case_049.txt,hyper-ige,immunodeficiency disorder,,"Diagnosis: Hyper IgE syndrome (2) The patient's history of recurrent infections, including otitis media, meningococcal meningitis, and pneumonia, coupled with his familial predisposition to infectious-related mortality, suggests an immunodeficiency disorder.",SUBSTITUTE,Hyper-IgE syndrome,immunodeficiency disorder,"Although the entities are not the same surface form, they are related in the context of the vignette. To facilitate a comparison based on SNOMED depth, it's more appropriate to use the more specific term 'Hyper-IgE syndrome' for both sides.",191009009,234532001,14,7,191009009,234532001,14,7,-7
Per-case hierarchical is-a,case_044.txt,ultrasound,investigations,,"Although the possibility of other etiologies cannot be completely ruled out, the current presentation is most consistent with premature thelarche, and a watchful waiting approach with regular follow-ups seems appropriate, avoiding invasive and unnecessary investigations.",SUBSTITUTE,ultrasound examinations,investigations,"To compare SNOMED depth, it's necessary to consider specific diagnostic procedures. Here, 'ultrasound' is a diagnostic tool under 'investigations', so replacing 'ultrasound' with 'ultrasound examinations' allows for a fair comparison.",16310003,252142004,11,7,,252142004,,7,
Per-case hierarchical is-a,case_039.txt,thromboendarterectomy,surgical procedure,"Thromboendarterectomy could be performed urgently in selected centers (not available in all) in patients in whom systemic fibrinolysis is contraindicated, or in centers where the experience with this technique is proven and it can be performed quickly.",,SUBSTITUTE,thromboendarterectomy,thrombus removal procedure,"To compare SNOMED depth, it's necessary to use terms that reflect the same procedure. While 'thromboendarterectomy' is a specific type of 'surgical procedure', a more specific term for 'thrombus removal procedure' is needed to maintain a fair comparison.",74556005,48692003,20,3,74556005,,20,,
Per-case hierarchical is-a,case_029.txt,finding,soft drusen,"That while not a ""diagnosis"" (the question could have been better worded) is a finding related to age-related macular degeneration, or age-related macular degeneration.","In the presented case, a 75-year-old woman with a known history of soft drusen in the fundus has recently developed significant visual loss and metamorphopsia in her right eye.",SUBSTITUTE,age-related macular degeneration,significant visual loss,"While 'finding' is a broad term, it refers to the presence of a condition in this context. 'Soft drusen' is a specific finding related to age-related macular degeneration, but 'significant visual loss' is a symptom of the condition, not the condition itself.",246188002,420272005,1,17,155112007,,,,
Per-case hierarchical is-a,case_017.txt,scleroderma,disease,,"Based on the presented symptoms and the recent introduction of prednisone, the most likely autoantibody associated with this process is Anti-proteinase 3 antibodies (ANCA-PR3), which are commonly found in patients with Wegener's granulomatosis, a disease characterized by vasculitis and organ involvement, including the…",SUBSTITUTE,scleroderma-related disease,Wegener's granulomatosis,"Both strings refer to different diseases, thus they are incomparable in terms of SNOMED depth. To allow for a fair comparison, we suggest replacing 'scleroderma' with 'scleroderma-related disease' and 'disease' with 'Wegener's granulomatosis'.",201441006,64572001,9,2,,390001000,,,
Per-case hierarchical is-a,case_106.txt,disease,post-surgery,Difficult question since it is necessary to know data of a disease that is not usually asked in the MIR.,"The patient's significantly low calcium level and elevated PTH, combined with a family history of hyperparathyroidism and persistent hypercalcemia post-surgery in affected relatives, suggest a possible primary hyperparathyroidism (PHPT) with a parathyroid hormone-related peptide (PTHrP) producing tumor.",SUBSTITUTE,disease,hyperparathyroidism,"While 'disease' is a broad term, 'hyperparathyroidism' is a more specific condition that the model excerpt discusses in the context of the patient's case. Therefore, 'hyperparathyroidism' is a more suitable replacement for 'disease' to compare SNOMED depth.",64572001,279049005,2,15,64572001,154696001,2,,
Per-case hierarchical is-a,case_017.txt,renal crisis,disease,,,SUBSTITUTE,renal crisis (systemic sclerosis complication),Wegener's granulomatosis (disease characterized by vasculitis and organ involvement),"The human side discusses a specific complication of systemic sclerosis, while the model side discusses a broader disease entity. To compare SNOMED depth as a specificity ladder, it is necessary to replace 'renal crisis' with a more specific phrase that includes the underlying disease, and 'disease' with a more specific disease entity.",236503001,64572001,13,2,,,,,
Per-case hierarchical is-a,case_079.txt,hemolytic anemia,aiha,"The choluria, LDH, presence of panagglutinin and the peripheral blood smear ""smells"" like hemolytic anemia.","Based on the presented clinical case, the most plausible diagnosis appears to be Autoimmune Hemolytic Anemia (AIHA).",SUBSTITUTE,hemolytic anemia,autoimmune hemolytic anemia,"To compare SNOMED depth, it's necessary to use the more specific term 'autoimmune hemolytic anemia' on both sides, as 'hemolytic anemia' is a broader category that includes various types of hemolytic anemia.",61261009,25121006,14,18,61261009,25121006,14,18,4
