case_file,n_ner_types_a,n_ner_types_b,n_ner_mentions_a,n_ner_mentions_b,n_mapped_types_a,n_mapped_types_b,n_concepts_a,n_concepts_b,n_concepts_intersection,n_concepts_a_only,n_concepts_b_only,n_string_surface_intersection,jaccard_concepts_a_b,mean_depth_weighted_a,mean_depth_weighted_b,mean_depth_weighted_b_minus_a
case_001.txt,9,30,9,31,6,13,6,13,2,4,11,3,0.117647,6.0,8.1429,2.1429
case_002.txt,6,26,7,27,4,16,4,16,3,1,13,3,0.176471,6.5,8.6471,2.1471
case_003.txt,8,26,8,28,3,13,3,13,2,1,11,5,0.142857,8.6667,7.5333,-1.1333
case_005.txt,18,24,20,33,12,16,11,16,1,10,15,2,0.038462,10.0,11.35,1.35
case_006.txt,50,49,54,64,24,24,24,24,2,22,22,4,0.043478,8.1538,8.8276,0.6737
case_007.txt,11,29,14,30,8,16,8,16,2,6,14,3,0.090909,8.8,9.5625,0.7625
case_008.txt,11,25,12,28,7,14,7,14,2,5,12,4,0.105263,7.625,7.0588,-0.5662
case_010.txt,16,25,17,29,9,17,9,17,1,8,16,1,0.04,13.5,7.35,-6.15
case_011.txt,30,42,35,54,19,25,19,25,7,12,18,8,0.189189,7.6087,9.2857,1.677
case_012.txt,7,29,7,32,3,14,3,14,0,3,14,0,0.0,13.3333,10.5625,-2.7708
case_013.txt,15,31,17,33,10,18,9,17,1,8,16,4,0.04,9.3333,7.7895,-1.5439
case_014.txt,10,30,10,34,7,14,7,14,2,5,12,1,0.105263,8.0,9.5,1.5
case_015.txt,4,24,4,25,3,16,3,16,1,2,15,1,0.055556,7.6667,8.3125,0.6458
case_016.txt,27,33,27,40,16,21,16,21,2,14,19,2,0.057143,10.1875,8.3333,-1.8542
case_017.txt,12,32,12,37,6,18,6,18,1,5,17,3,0.043478,9.8333,9.9474,0.114
case_018.txt,14,30,14,34,8,19,8,19,1,7,18,3,0.038462,10.5,10.7143,0.2143
case_019.txt,11,27,14,29,7,18,7,18,1,6,17,1,0.041667,9.8,9.4737,-0.3263
case_020.txt,6,29,6,33,4,15,4,15,3,1,12,3,0.1875,7.25,6.1765,-1.0735
case_021.txt,17,27,19,33,9,16,9,16,4,5,12,6,0.190476,8.8182,8.7727,-0.0455
