entity,corpus,frequency,snomed_concept,depth
patient,A,44,116154003,5
case,A,32,398241000,3
treatment,A,30,151269007,
patients,A,27,184191002,
correct,A,21,152352009,
diagnosis,A,21,439401001,3
presence,A,19,386397008,7
data,A,16,138974005,
symptoms,A,15,139552004,
involvement,A,14,278112009,6
question,A,14,76053005,8
months,A,13,258706009,5
answers,A,11,,
picture,A,11,257445002,7
false,A,10,64100000,7
low,A,10,62482003,6
options,A,10,223487003,8
choice,A,8,408855004,4
disease,A,8,64572001,2
severe,A,8,24484000,7
asymptomatic,A,7,84387000,8
cases,A,7,398241000,3
clinical picture,A,7,,
frequent,A,7,70232002,6
history,A,7,51042001,5
ldh,A,7,166681001,
level,A,7,276625007,4
mri,A,7,113091000,11
pain,A,7,366981002,
risk,A,7,366990009,
absence,A,6,418560003,4
acth,A,6,40789008,19
associated with,A,6,47429007,6
fever,A,6,248425001,9
incorrect,A,6,281267002,10
increased,A,6,35105006,7
lesion,A,6,49755003,3
mir,A,6,118364009,7
panagglutinin,A,6,,
pathology,A,6,393402002,
treat,A,6,148040007,
woman,A,6,224526002,6
affected,A,5,247591002,6
biopsy,A,5,86273004,11
characterized,A,5,373673007,10
complications,A,5,156097009,
decrease,A,5,260370003,5
elevation,A,5,103720008,5
fibrinolysis,A,5,59141009,7
infection,A,5,257551009,
ki67,A,5,259981004,15
management,A,5,393450003,
orbit,A,5,181143004,16
origin,A,5,246062003,4
positive,A,5,393474000,
progressive,A,5,62789008,
sensitive,A,5,83185005,5
study,A,5,224699009,10
suspicion,A,5,706876006,8
test,A,5,165734002,
acute,A,4,53737009,6
age,A,4,102518004,7
answer,A,4,9288000,14
antibiotic,A,4,41000005,
benefit,A,4,138333002,
cause,A,4,152527006,
characteristics,A,4,246196007,6
clinical,A,4,58147004,6
corticosteroids,A,4,79440004,6
course,A,4,260908002,5
ct,A,4,146287002,
ct scan,A,4,129679001,10
cushing's syndrome,A,4,154705004,
days,A,4,258703001,5
diagnosed,A,4,405749004,13
dose,A,4,408102007,4
elevated,A,4,75540009,8
entity,A,4,397659008,7
examination,A,4,263749006,
features,A,4,248185005,9
finding,A,4,246188002,1
hypercortisolism,A,4,47270006,11
information,A,4,136824003,
initial,A,4,884001,7
metamorphopsia,A,4,42134006,13
normal,A,4,17621005,6
option,A,4,395322004,7
ph,A,4,27327002,7
prolonged,A,4,255224006,6
puberty,A,4,18991001,10
situation,A,4,158120008,
statement,A,4,153184004,
tests,A,4,272393004,6
treatments,A,4,386439008,8
visual loss,A,4,40031005,12
weeks,A,4,258705008,5
absences,A,3,248227006,11
action,A,3,129264002,4
adh,A,3,77671006,17
adolescent,A,3,133937008,5
age-related macular degeneration,A,3,155112007,
analytical data,A,3,,
anemia,A,3,64593003,
array,A,3,62280008,8
behavioral,A,3,166001,8
benign,A,3,30807003,6
blood,A,3,87612001,14
changes,A,3,147903004,
clinical case,A,3,,
cluster headache,A,3,55865003,
collagenous colitis,A,3,19311003,15
colon cancer,A,3,31001000119109,14
complicated,A,3,255302009,5
conjunctival injection,A,3,425223000,11
contact,A,3,147718008,
depression,A,3,41006004,9
diagnose,A,3,1382104006,6
diagnostic suspicion,A,3,,
eeg,A,3,54550000,11
fundus,A,3,14347000,23
general condition,A,3,276325004,7
giant cell arteritis,A,3,155442004,12
girl,A,3,431549007,9
gonarthrosis,A,3,239873007,14
headache,A,3,139490008,
high,A,3,75540009,8
hyperkalemia,A,3,14140009,11
hypoxemia,A,3,30869003,8
imaging test,A,3,,
indomethacin,A,3,60149003,9
irregular,A,3,49608001,6
lesions,A,3,364643006,
lymphocytes,A,3,709252005,16
males,A,3,74398009,10
measure,A,3,246445000,4
monitoring,A,3,147847009,
negative,A,3,393476003,
oral,A,3,260548002,7
paroxysmal hemicrania,A,3,443094001,17
partial,A,3,255609007,6
patient's,A,3,152365000,
pituitary,A,3,312270009,
precocious,A,3,235246008,5
prognosis,A,3,20481000,6
protocol,A,3,394404009,
response,A,3,151263008,
seizures,A,3,407621003,7
sleep,A,3,86636006,
surgery,A,3,257556004,5
surgical treatment,A,3,9221009,21
symptomatic,A,3,264931009,5
symptomatology,A,3,158738000,
technique,A,3,246501002,6
thrombosis,A,3,70281000,8
undetectable,A,3,,
urinalysis,A,3,27171005,12
warfarin,A,3,48603004,8
years,A,3,258707000,5
abrupt,A,2,52147007,11
acidosis,A,2,154757004,
acute phase,A,2,255251009,6
adenocarcinoma,A,2,35917007,13
adjuvants,A,2,,
afferent,A,2,49530007,6
aggressive,A,2,255325005,6
amd,A,2,237967002,13
analgesic,A,2,255630003,
analysis,A,2,272389005,6
anorexia nervosa,A,2,154926005,
answered,A,2,,
antibiotic therapy,A,2,281789004,9
antibiotic treatment,A,2,,
antibodies,A,2,143260007,
arthritis,A,2,3723001,10
aspirin,A,2,7947003,16
atelectasis,A,2,46621007,11
atopic dermatitis,A,2,156331003,
autoimmune disease,A,2,85828009,7
autoimmune hemolytic anemia,A,2,25121006,18
baker's cyst,A,2,82675004,14
bi-rads,A,2,1348266008,3
bilirubin,A,2,79706000,16
blood pressure,A,2,75367002,8
bone marrow,A,2,256888005,
bone marrow aplasia,A,2,,
brucellosis,A,2,154296006,
burn,A,2,48333001,8
cardiac tamponade,A,2,35304003,12
centers,A,2,228839001,7
cerclage,A,2,1455007,7
chest pain,A,2,139228007,
choluria,A,2,,
comment,A,2,393206001,
compensate,A,2,17842005,10
complete,A,2,91277000,
confirmation,A,2,248992004,12
consecutive,A,2,232099002,13
conservative treatment,A,2,,
contraindicated,A,2,410536001,5
contralateral eye,A,2,,
criteria,A,2,717350000,3
cured,A,2,139890002,
cyclophosphamide,A,2,74470007,10
day,A,2,264721006,
definition,A,2,900000000000550004,4
degenerative,A,2,30523006,15
delay,A,2,389369003,
determination,A,2,146392003,
diagnostic criteria,A,2,147834004,
diagnostic test,A,2,142005002,
diarrhea,A,2,62315008,12
differential diagnosis,A,2,47965005,4
differentiate,A,2,,
difficult,A,2,401335003,
diplopia,A,2,139545001,
dissociation,A,2,246726008,
distal,A,2,46053002,6
disturbances,A,2,206746001,8
drug,A,2,2533004,2
drugs,A,2,363723000,
drusen,A,2,18695008,5
e coli,A,2,186451007,
effective,A,2,112234008,
effusion,A,2,41699000,6
elisa,A,2,143440002,
empyematization,A,2,,
episodes,A,2,272128006,7
etiology,A,2,134198009,5
evaluated,A,2,,
evolution,A,2,5088004,15
exudative,A,2,255305006,6
eye,A,2,367568005,
failure,A,2,76797004,6
false answer,A,2,,
filling,A,2,827081001,6
flexing,A,2,298334009,8
floor,A,2,709280007,2
fna,A,2,257759008,11
formula,A,2,100672008,6
fracture,A,2,157169007,
fractures,A,2,157254003,
frequency,A,2,260864003,5
gonadotrophins,A,2,346565008,8
hemodynamic,A,2,422773005,4
hemolytic anemia,A,2,61261009,14
her2,A,2,427685000,19
high risk,A,2,723509005,5
higher,A,2,151568000,
hiv,A,2,19030005,12
hiv infection,A,2,86406008,7
hours,A,2,258702006,5
hr,A,2,15508007,5
hr+,A,2,,
hypercapnia,A,2,29596007,8
hypokalemic,A,2,237851007,12
i,A,2,257469003,7
igg,A,2,143328001,
immature,A,2,1090009,6
incidence,A,2,112125007,7
increase,A,2,260366006,5
infections,A,2,157123007,
initiate,A,2,286388005,13
insufficient,A,2,423437008,5
insulin,A,2,67866001,18
intellectual disability,A,2,110359009,9
intensity,A,2,80035002,11
intermediate risk,A,2,,
intracellular,A,2,83167003,6
introduction,A,2,107733003,3
joint,A,2,39352004,9
lacrimation,A,2,301973009,9
lasègue maneuver,A,2,,
leaves,A,2,90737002,13
left,A,2,7771000,6
leptospirosis,A,2,186953000,
lesser extent,A,2,,
limb,A,2,66019005,7
lithium,A,2,85899009,11
loss,A,2,138214005,
loss of vision,A,2,40031005,12
low risk,A,2,723505004,5
lower limb,A,2,61685007,10
lung,A,2,39607008,15
macroscopic,A,2,199619001,
malnutrition,A,2,2492009,6
marrow,A,2,227250008,7
measures,A,2,367346004,3
mechanical ventilation,A,2,25638009,
medical treatment,A,2,699389008,12
monitored,A,2,394073006,
monoclonal peak,A,2,,
monthly,A,2,89185003,9
murmur,A,2,88610006,13
myopia magna,A,2,,
nature,A,2,246425008,4
neurogenic claudication,A,2,303081002,15
neurology,A,2,393381006,
neuropathic pain,A,2,247398009,12
nnt,A,2,,
observation,A,2,122544007,6
ocular,A,2,372472002,5
orbital cavity,A,2,280541000,17
pain crisis,A,2,39565009,11
papillary edema,A,2,238593003,13
pathognomonic,A,2,38173001,5
pco2,A,2,250564007,16
period,A,2,161728000,
periods,A,2,248957007,11
physical examination,A,2,5880005,8
pituitary apoplexy,A,2,237701005,16
plasmapheresis,A,2,20720000,14
platelets,A,2,259727009,6
pneumonia,A,2,60363000,
polymyalgia rheumatica,A,2,156656001,
potassium,A,2,88480006,8
pregnancy,A,2,77386006,12
pregnant,A,2,77386006,12
pregnant women,A,2,,
premature telarche,A,2,,
prepubertal uterus,A,2,,
preservation,A,2,29284004,7
prevent,A,2,101445003,6
problem,A,2,55607006,5
pubertal,A,2,419960003,11
pulmonary,A,2,264164005,7
pupillary defect,A,2,247017005,14
reality,A,2,7865000,13
reflexes,A,2,106146005,9
renal level,A,2,,
resistant,A,2,30714006,5
respiratory infection,A,2,195705000,
rib fractures,A,2,208135004,
risk factors,A,2,156148003,
rra,A,2,66238006,21
rules,A,2,228348001,11
short stature,A,2,277266007,8
skin,A,2,39937001,9
small uterus,A,2,289624004,13
spanish society of gynecology and obstetrics,A,2,,
speaking,A,2,87335007,13
spherocytosis,A,2,142886003,
spironolactone,A,2,13929005,9
stable,A,2,58158008,7
subgroup,A,2,260836008,5
sunct,A,2,725058003,17
surface epithelium,A,2,254649008,12
systemic,A,2,31099001,6
systole,A,2,111973004,8
t2,A,2,67673008,9
t4,A,2,143688006,
tetanus,A,2,154312006,
thrombocytopenia,A,2,70786006,10
thyroid nodule,A,2,190234009,
times,A,2,417929005,5
tumor,A,2,108369006,8
turner,A,2,751008,11
ultrasound,A,2,16310003,11
unstable,A,2,263922001,6
urinary tract infections,A,2,162183000,
urine,A,2,78014005,14
uti,A,2,162597002,
vaccinated,A,2,,
