rank,term,frequency
1,would,59
2,answer,55
3,option,46
4,patient,45
5,treatment,44
6,3,43
7,2,42
8,correct,39
9,case,38
10,1,37
11,one,34
12,question,31
13,also,30
14,patients,30
15,due,28
16,4,27
17,5,27
18,usually,27
19,us,26
20,diagnosis,24
21,clinical,23
22,may,23
23,syndrome,23
24,therefore,23
25,could,22
26,data,22
27,pain,21
28,picture,21
29,since,21
30,disease,19
31,first,19
32,presence,19
33,rule,19
34,symptoms,18
35,test,18
36,acute,17
37,risk,17
38,low,16
39,cause,15
40,high,15
41,typical,15
42,associated,14
43,false,14
44,indicated,14
45,involvement,14
46,presents,14
47,infection,13
48,months,13
49,normal,13
50,without,13
