case_file,snomed_concept_a,snomed_concept_b,depth_a,depth_b,depth_gap_abs,isa_broader_side,entity_example_a,entity_example_b
case_001.txt,90935002,64572001,8,2,6,model_concept_broader,hemophilia,disorders
case_001.txt,90935002,64779008,8,6,2,model_concept_broader,hemophilia,coagulation disorder
case_001.txt,90935002,28293008,8,9,1,human_concept_broader,hemophilia,hemophilia a
case_003.txt,113091000,122503006,11,5,6,model_concept_broader,mri,assessment
case_005.txt,61685007,65490005,10,18,8,human_concept_broader,lower limb,lateral femoral cutaneous nerve
case_005.txt,61685007,182299007,10,15,5,human_concept_broader,lower limb,lateral aspect
case_005.txt,61685007,61396006,10,15,5,human_concept_broader,lower limb,left thigh
case_005.txt,61685007,30021000,10,14,4,human_concept_broader,lower limb,leg
case_005.txt,61685007,72696002,10,14,4,human_concept_broader,lower limb,knee
case_006.txt,723158004,42658009,12,6,6,model_concept_broader,lower limbs,peripheral neuropathy
case_006.txt,33653009,44077006,10,8,2,human_concept_broader,anesthesia,numbness
case_006.txt,75693000,106148006,9,7,2,model_concept_broader,vibratory,sensory function
case_006.txt,106146005,32566006,9,10,1,human_concept_broader,reflexes,dysmetria
case_006.txt,49755003,418560003,3,4,1,human_concept_broader,lesion,absence
case_008.txt,64572001,8250007,2,16,14,human_concept_broader,disease,subcutaneous cellular tissue
case_008.txt,64572001,89155008,2,10,8,human_concept_broader,disease,systemic scleroderma
case_010.txt,30288003,301095005,21,8,13,model_concept_broader,vsd,cardiac finding
case_010.txt,48724000,301095005,15,8,7,model_concept_broader,mitral insufficiency,cardiac finding
case_010.txt,88610006,301095005,13,8,5,model_concept_broader,murmur,cardiac finding
case_010.txt,88610006,31574009,13,15,2,human_concept_broader,murmur,systolic murmur
case_011.txt,79440004,116568000,6,19,13,human_concept_broader,corticosteroids,dexamethasone
case_012.txt,770626007,61514009,20,15,5,model_concept_broader,claude bernard,miosis
case_013.txt,59433001,40940006,19,20,1,human_concept_broader,hcg,bhcg
case_014.txt,246188002,197671004,1,12,11,human_concept_broader,finding,renal function impairment
case_014.txt,246188002,34436003,1,11,10,human_concept_broader,finding,hematuria
case_014.txt,386100006,78014005,15,14,1,model_concept_broader,sediment,urine
case_016.txt,277473004,64572001,21,2,19,model_concept_broader,b-cll,disease
case_016.txt,1260406003,64572001,17,2,15,model_concept_broader,tp53,disease
case_016.txt,405749004,64572001,13,2,11,model_concept_broader,diagnosed,disease
case_016.txt,67023009,64572001,13,2,11,model_concept_broader,lymphocytosis,disease
case_016.txt,722967008,64572001,9,2,7,model_concept_broader,mutations,disease
case_016.txt,277473004,92814006,21,19,2,model_concept_broader,b-cll,cll
case_017.txt,236503001,64572001,13,2,11,model_concept_broader,renal crisis,disease
case_017.txt,19216006,64572001,11,2,9,model_concept_broader,esophageal,disease
case_017.txt,195295006,64572001,10,2,8,model_concept_broader,raynaud's,disease
case_017.txt,89155008,64572001,10,2,8,model_concept_broader,systemic sclerosis,disease
case_017.txt,201441006,64572001,9,2,7,model_concept_broader,scleroderma,disease
case_018.txt,235599003,16761005,13,11,2,model_concept_broader,eosinophilic esophagitis,esophagitis
case_018.txt,19597002,40739000,11,10,1,model_concept_broader,intermittent dysphagia,dysphagia
case_021.txt,724637001,64572001,15,2,13,model_concept_broader,isolated thrombocytopenia,disease
case_021.txt,724637001,70786006,15,10,5,model_concept_broader,isolated thrombocytopenia,thrombocytopenia
case_023.txt,387961004,106831000,5,12,7,human_concept_broader,animals,ticks
case_026.txt,2533004,55867006,2,16,14,human_concept_broader,drug,aminophylline
case_026.txt,187275001,75478009,13,4,9,model_concept_broader,intoxications,toxicity
case_027.txt,75053002,127086001,15,14,1,model_concept_broader,kawasaki disease,cervical lymphadenopathy
case_028.txt,46956008,82275008,12,19,7,human_concept_broader,polyangiitis,egpa
case_028.txt,36171008,82275008,15,19,4,human_concept_broader,glomerulonephritis,egpa
case_029.txt,246188002,420272005,1,17,16,human_concept_broader,finding,soft drusen
case_029.txt,280927000,5665001,36,20,16,model_concept_broader,central retinal vein,retina
case_029.txt,420272005,64572001,17,2,15,model_concept_broader,soft drusen,disease
case_029.txt,13937002,64572001,16,2,14,model_concept_broader,subretinal hemorrhage,disease
case_029.txt,312956001,64572001,16,2,14,model_concept_broader,central serous chorioretinopathy,disease
case_029.txt,246188002,16350000,1,14,13,human_concept_broader,finding,central vision
case_029.txt,246188002,237967002,1,13,12,human_concept_broader,finding,amd
case_029.txt,246188002,312999006,1,13,12,human_concept_broader,finding,macular disorder
case_029.txt,246188002,42134006,1,13,12,human_concept_broader,finding,metamorphopsia
case_029.txt,37231002,64572001,14,2,12,model_concept_broader,macular edema,disease
case_029.txt,246188002,40031005,1,12,11,human_concept_broader,finding,loss of vision
case_029.txt,42134006,64572001,13,2,11,model_concept_broader,metamorphopsia,disease
case_029.txt,246188002,38950008,1,11,10,human_concept_broader,finding,central scotoma
case_029.txt,40031005,64572001,12,2,10,model_concept_broader,visual loss,disease
case_029.txt,246188002,225860008,1,5,4,human_concept_broader,finding,short period
case_029.txt,37231002,312999006,14,13,1,model_concept_broader,macular edema,macular disorder
case_030.txt,116568000,79440004,19,6,13,model_concept_broader,dexamethasone,corticosteroids
case_030.txt,246062003,134198009,4,5,1,human_concept_broader,origin,etiology
case_030.txt,75540009,35105006,8,7,1,model_concept_broader,elevated,increased
case_031.txt,35917007,108369006,13,8,5,model_concept_broader,adenocarcinoma,tumor
case_032.txt,16403005,2533004,8,2,6,model_concept_broader,nsaid,medication
case_032.txt,25246002,2533004,7,2,5,model_concept_broader,allopurinol,medication
case_032.txt,46785007,35885006,16,14,2,model_concept_broader,hyperuricemic,hyperuricemia
case_032.txt,46785007,90560007,16,14,2,model_concept_broader,hyperuricemic,gout
case_033.txt,86406008,111880001,7,8,1,human_concept_broader,hiv infection,acute hiv infection
case_034.txt,49755003,108369006,3,8,5,human_concept_broader,lesion,tumor
case_035.txt,112283007,4748007,14,2,12,model_concept_broader,escherichia coli,organisms
case_036.txt,109081006,2533004,9,2,7,model_concept_broader,metformin,medication
case_036.txt,326058001,2533004,9,2,7,model_concept_broader,pioglitazone,medication
case_036.txt,47429007,263491009,6,4,2,model_concept_broader,associated with,context
case_036.txt,326058001,109086001,9,8,1,model_concept_broader,pioglitazone,thiazolidinedione
case_039.txt,74556005,48692003,20,3,17,model_concept_broader,thromboendarterectomy,surgical procedure
case_039.txt,233935004,371039008,14,11,3,model_concept_broader,pulmonary thromboembolism,thromboembolic
case_043.txt,86273004,7246002,11,15,4,human_concept_broader,biopsy,renal biopsy
case_044.txt,314618003,252142004,15,7,8,model_concept_broader,abdominal ultrasound,investigations
case_044.txt,71651007,252142004,13,7,6,model_concept_broader,mammography,investigations
case_044.txt,16310003,252142004,11,7,4,model_concept_broader,ultrasound,investigations
case_044.txt,314618003,16310003,15,11,4,model_concept_broader,abdominal ultrasound,ultrasonography
case_045.txt,443094001,373673007,17,10,7,model_concept_broader,paroxysmal hemicrania,characterized
case_045.txt,725058003,373673007,17,10,7,model_concept_broader,sunct,characterized
case_045.txt,60149003,16403005,9,8,1,model_concept_broader,indomethacin,nsaid
case_046.txt,64349004,324643005,10,5,5,model_concept_broader,griseofulvin,antifungal
case_049.txt,36070007,234532001,20,7,13,model_concept_broader,wiskott-aldrich syndrome,immunodeficiency disorder
case_049.txt,36070007,70786006,20,10,10,model_concept_broader,wiskott-aldrich syndrome,thrombocytopenia
case_049.txt,70786006,36070007,10,20,10,human_concept_broader,thrombocytopenia,wiskott-aldrich syndrome
case_049.txt,191009009,234532001,14,7,7,model_concept_broader,hyper-ige,immunodeficiency disorder
case_049.txt,35105006,75540009,7,8,1,human_concept_broader,increased,elevated
