term,corpus,snomed_concept,depth
would,A,,
answer,A,,
option,A,,
patient,A,116154003,5
treatment,A,,
3,A,421291004,7
2,A,420797005,7
correct,A,,
case,A,398241000,3
1,A,421379005,7
one,A,38112003,6
question,A,,
also,A,,
patients,A,,
due,A,,
4,A,421534005,7
5,A,421820001,7
usually,A,,
us,A,258698007,5
diagnosis,A,439401001,3
option,B,,
patient's,B,,
diagnosis,B,439401001,3
case,B,398241000,3
symptoms,B,,
due,B,,
may,B,,
2,B,420797005,7
1,B,421379005,7
3,B,421291004,7
appropriate,B,,
pain,B,366981002,
patient,B,116154003,5
findings,B,,
infection,B,257551009,
treatment,B,,
4,B,421534005,7
history,B,51042001,5
likely,B,2931005,7
blood,B,87612001,14
