case_file,case_num,dataset_id,medical_area,A_hedge_hits,A_tokens,A_per_1000,B_hedge_hits,B_tokens,B_per_1000,delta_B_minus_A_per_1000
case_001.txt,1,190_94,General medicine (no clear lexical match),2,31,64.5161,5,111,45.045,-19.4711
case_002.txt,2,150_201,General medicine (no clear lexical match),0,61,0.0,4,88,45.4545,45.4545
case_003.txt,3,454_153,General medicine (no clear lexical match),3,38,78.9474,5,100,50.0,-28.9474
case_005.txt,5,602_112,Endocrinology & metabolic medicine,1,67,14.9254,0,115,0.0,-14.9254
case_006.txt,6,127_77,Multi-specialty stem (tied lexical scores),2,197,10.1523,9,231,38.961,28.8088
case_007.txt,7,316_138,Rheumatology & musculoskeletal medicine,0,35,0.0,4,84,47.619,47.619
case_008.txt,8,153_74,General medicine (no clear lexical match),1,45,22.2222,3,110,27.2727,5.0505
case_010.txt,10,413_68,Cardiovascular medicine,1,60,16.6667,8,116,68.9655,52.2989
case_011.txt,11,314_178,General medicine (no clear lexical match),5,149,33.557,6,186,32.2581,-1.299
case_012.txt,12,263_37,General medicine (no clear lexical match),2,35,57.1429,5,117,42.735,-14.4078
case_013.txt,13,344_158,Obstetrics & gynaecology,0,61,0.0,5,107,46.729,46.729
case_014.txt,14,43_151,General medicine (no clear lexical match),2,55,36.3636,7,111,63.0631,26.6994
case_015.txt,15,616_119,General medicine (no clear lexical match),0,7,0.0,3,87,34.4828,34.4828
case_016.txt,16,489_105,General medicine (no clear lexical match),0,122,0.0,3,115,26.087,26.087
case_017.txt,17,534_119,General medicine (no clear lexical match),3,50,60.0,3,104,28.8462,-31.1538
case_018.txt,18,273_71,General medicine (no clear lexical match),0,54,0.0,4,93,43.0108,43.0108
case_019.txt,19,56_76,General medicine (no clear lexical match),1,36,27.7778,5,100,50.0,22.2222
case_020.txt,20,409_191,Clinical oncology,0,32,0.0,3,95,31.5789,31.5789
case_021.txt,21,179_98,Haematology & coagulation,0,74,0.0,8,112,71.4286,71.4286
