File	KPF	Left Context	Hit	Right Context
corpus_a_merged.txt	25	provided are based on the Diagnostic Criteria of the International Headache Society.The correct 	answer 	is 3.  If I am not mistaken, you are describing a Celso's kerion 
corpus_a_merged.txt	25	I fracture does not affect the orbital contents.  Knowing this information, the only correct 	answer 	is 2.  If we were in doubt about whether or not Lefort's type 
corpus_a_merged.txt	25	it seems obvious that refractive defects do not give hemianopsia (3 and 4 false).The correct 	answer 	is 1.  The statement perfectly defines a tolerance phenomenon in which the patient has 
corpus_a_merged.txt	25	for observation of this and take measures in case this is necessary.The correct 	answer 	is 3.  The study that gives us more information about endometrial pathology is hysteroscopy, 
corpus_a_merged.txt	25	vasopressin test (intravenous administration of ADH and remeasurement of urinary osmolarity).  Therefore, the correct 	answer 	is option 3.Book picture of Primary Biliary Cirrhosis, one of those that do 
corpus_a_merged.txt	25	bilateral pulmonary infiltrates + PCP<18.  So the diagnosis is respiratory distress and therefore the correct 	answer 	is option 5.Other drugs are a good choice in urinary tract infections caused 
corpus_a_merged.txt	25	not sleep nine hours and still wants to sleep more,...then the less harmful 	answer 	is the 2.  Because it is the one with the shortest half-life and 
corpus_a_merged.txt	25	of occurrence between 10 and 80%.  Conservative treatment with botulinum toxin offers good results.The correct 	answer 	is the first one.  The most frequent cause of urinary tract infections is 
corpus_a_merged.txt	24	with significant visual disturbances, surgical intervention is usually of choice, with transsphenoidal decompression.The 	answer 	is 2.  According to the SEGO (Spanish Society of Gynecology and Obstetrics) in its 2005 
corpus_a_merged.txt	24	the marrow but in the peripheral blood, where platelets are destroyed.  So.  The false 	answer 	is 2.Diagnostic laparoscopy.  It is a typical case of deep endometriosis, with implants 
corpus_a_merged.txt	24	nerve exits, and between T4 and T5 the 4th thoracic nerve exits.  The correct 	answer 	is 4.Everything we are told in this case is typical of COLLAGENOUS COLITIS.  
corpus_a_merged.txt	24	emphasis on the decline of functional independence that occurs in these patients.The correct 	answer 	is: 2.  Hyperkalemia.  Spironolactone, as a potassium-sparing diuretic, inhibits the action of aldosterone 
corpus_a_merged.txt	24	hemodynamic compromise.  Paradoxical pulse is a typical finding of cardiac tamponade.  Therefore, the correct 	answer 	is 5.This question may be a little more difficult, as the clinical case 
corpus_a_merged.txt	24	then every two months for another six months before a new pregnancy.The correct 	answer 	is 4.  What is not very clear to me is "routine urinalysis" because it 
corpus_a_merged.txt	24	of a paroxysmal hemicrania and its treatment of choice is indomethacin (which also the 	answer 	is a diagnostic criterion).  Therefore correct answer 1 (Indomethacin).  All data provided are based 
corpus_a_merged.txt	24	and he does not want the lady to fall down the next day.The 	answer 	is 2, an EMG, which would be the diagnostic test to confirm the diagnostic 
corpus_a_merged.txt	24	meets the criteria for depression.  The poor girl has been diagnosed with depression.  The 	answer 	is 5 (another option is that she was studying the MIR).We describe the 
corpus_a_merged.txt	24	nd: measure ACTH to orient etiology.  3rd: imaging test according to ACTH levels.  Therefore, 	answer 2 	is false (abdominal CT is not a test to rule out s. Cushing'
