case_file,entity,snomed_concept,depth,count_in_case_a,count_in_case_b,context_sentence_a,context_sentence_b
case_001.txt,diagnosis,439401001,3,1,1,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia.","The family history of similar problems could potentially implicate an inherited condition, although no specific diagnosis is mentioned in the uncle's case."
case_001.txt,prolonged,255224006,6,1,1,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia.","The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_002.txt,half-life,304283002,7,1,1,Because it is the one with the shortest half-life and he does not want the lady to fall down the next day.,"This suggests a chronic and likely difficult-to-treat insomnia, which makes benzodiazepines with a shorter half-life preferable to avoid sedative rebound and daytime drowsiness."
case_002.txt,measures,367346004,4,1,1,"Knowing that we have taken measures of sleep hygiene, we have explored what provokes him not to sleep, and he does not sleep nine hours and still wants to sleep more,...then the less harmful answer is the 2.","Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_002.txt,sleep hygiene,443483005,11,1,1,"Knowing that we have taken measures of sleep hygiene, we have explored what provokes him not to sleep, and he does not sleep nine hours and still wants to sleep more,...then the less harmful answer is the 2.","Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_003.txt,diagnosis,439401001,3,1,1,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis.","The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,mri,113091000,11,1,1,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis.","Although a Cerebral Magnetic Resonance Imaging (MRI) might reveal atrophy in affected regions, it is less specific than EMG for motor neuron disease."
case_005.txt,knee,72696002,14,1,2,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver.","Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_006.txt,patient,116154003,5,1,1,"He presents a diabetic patient on insulin treatment with good control (although diabetic neuropathies do not only develop in patients with poor control) with a sensory picture limited to the upper limbs and of short onset time, without motor symptoms or at any other level.","In this case, the patient's presentation of symmetrical sensory symptoms in the distal extremities, specifically the hands and distal forearms, along with a lack of motor deficits, dysmetria, dysdiadochokinesia, or intention tremor, strongly suggests a peripheral neuropathy."
case_006.txt,preservation,29284004,7,2,2,In the examination there is a clear dissociation with thermoalgesic anesthesia and preservation of arthrokinetic and vibratory.,The preservation of positional and vibratory sensitivity is consistent with a predominantly sensory neuropathy.
case_007.txt,mycophenolate,409330005,14,1,1,"Mycophenolate is never a treatment in acute phase but in maintenance, nor has it proved useful in joint involvement.","However, the management may also involve additional immunosuppressants like mycophenolate, antimalarials, or hydroxychloroquine, depending on the disease severity"
case_007.txt,sle,10429004,15,1,1,"It is SLE with joint, skin and serositis involvement.","The patient's presentation aligns with Systemic Lupus Erythematosus (SLE), a condition that typically requires immunosuppressive therapy, often starting with high-dose glucocorticoids, due to its systemic inflammation and autoantibody profile."
case_008.txt,biopsy,86273004,11,1,1,The biopsy should be muscular and not subcutaneous.,"The diagnostic tests most useful for this case would be biopsy of subcutaneous cellular tissue (Option 3) to evaluate histopathological changes and determine the specific type of vasculitis, and the determination of anti-smooth muscle antibodies (Option 4) to aid in the diagnosis of systemic scleroderma, a connective …"
case_008.txt,muscular,263816006,7,1,1,The biopsy should be muscular and not subcutaneous.,"The electroytoencephalogram (Option 2) is not typically indicated in this case, as the presenting symptoms are primarily cutaneous and muscular rather than neurological."
