case_file,entity_a,entity_b,snomed_concept_a,snomed_concept_b,depth_a,depth_b,depth_gap_abs,isa_relation,count_in_case_a,count_in_case_b,context_sentence_a,context_sentence_b
case_001.txt,hemophilia,disorders,90935002,64572001,8,2,6,model_is_broader,1,1,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia.","While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_003.txt,mri,assessment,113091000,122503006,11,5,6,model_is_broader,1,1,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis.","A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease."
case_005.txt,lower limb,lateral femoral cutaneous nerve,61685007,65490005,10,18,8,human_is_broader,1,1,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver.","Meralgia paresthetica involves compression or trauma to the lateral femoral cutaneous nerve, causing symptoms similar to those described."
case_005.txt,lower limb,lateral aspect,61685007,182299007,10,15,5,human_is_broader,1,1,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver.","Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,lower limb,left thigh,61685007,61396006,10,15,5,human_is_broader,1,1,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver.","Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,lower limb,knee,61685007,72696002,10,14,4,human_is_broader,1,2,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver.","Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,lower limb,leg,61685007,30021000,10,14,4,human_is_broader,1,2,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver.","Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_006.txt,lower limbs,peripheral neuropathy,723158004,42658009,12,6,6,model_is_broader,1,1,"The short evolution time (2 weeks), the respect of the lower limbs and the preservation of muscle reflexes make me rule out this response despite the distribution being ""glove-like"".","In this case, the patient's presentation of symmetrical sensory symptoms in the distal extremities, specifically the hands and distal forearms, along with a lack of motor deficits, dysmetria, dysdiadochokinesia, or intention tremor, strongly suggests a peripheral neuropathy."
case_008.txt,disease,subcutaneous cellular tissue,64572001,8250007,2,16,14,human_is_broader,2,1,Its elevation is characteristic of this disease.,"The diagnostic tests most useful for this case would be biopsy of subcutaneous cellular tissue (Option 3) to evaluate histopathological changes and determine the specific type of vasculitis, and the determination of anti-smooth muscle antibodies (Option 4) to aid in the diagnosis of systemic scleroderma, a connective …"
case_008.txt,disease,systemic scleroderma,64572001,89155008,2,10,8,human_is_broader,2,1,Its elevation is characteristic of this disease.,"The diagnostic tests most useful for this case would be biopsy of subcutaneous cellular tissue (Option 3) to evaluate histopathological changes and determine the specific type of vasculitis, and the determination of anti-smooth muscle antibodies (Option 4) to aid in the diagnosis of systemic scleroderma, a connective …"
