rank,term,frequency
1,option,162
2,patient's,102
3,diagnosis,95
4,case,93
5,symptoms,79
6,due,62
7,may,57
8,2,54
9,1,53
10,3,50
11,appropriate,50
12,pain,47
13,patient,47
14,findings,42
15,infection,40
16,treatment,40
17,4,37
18,history,37
19,likely,37
20,blood,36
21,normal,35
22,risk,35
23,disease,33
24,suggest,32
25,presence,31
26,presentation,30
27,elevated,29
28,loss,28
29,test,28
30,would,28
31,high,26
32,typically,26
33,absence,25
34,levels,25
35,right,24
36,diagnostic,23
37,increased,23
38,potential,23
39,suggests,23
40,acute,22
41,condition,22
42,consistent,22
43,severe,22
44,syndrome,22
45,given,21
46,low,21
47,also,20
48,although,20
49,bone,20
50,characteristic,20
