category,case_stem,orig_entity_a,orig_entity_b,context_sentence_a,context_sentence_b,llm_decision,final_entity_a,final_entity_b,rationale,orig_concept_a,orig_concept_b,orig_depth_a,orig_depth_b
Body structure,,central retinal vein,trunk,"In thrombosis of the central retinal vein, visual loss is more important and does not usually explain metamorphopsia (but may have it, due to macular edema).","The presentation of psoriasiform lesions on the trunk, palms, and soles, along with asymmetric non-suppurative joint inflammation, bilateral ocular redness, and genital erosions, aligns with the characteristic features of Reiter's syndrome.",INCOMPARABLE,central retinal vein,trunk,The entities 'central retinal vein' and 'trunk' are not related in the given context as they pertain to different body parts and conditions.,280927000,22943007,38,7
Clinical finding,,disease,impairing,Its elevation is characteristic of this disease.,"This diagnosis is supported by the symptoms of dyspnea and tachypnea, which are commonly associated with the accumulation of fluid in the pericardial sac, compressing the heart chambers and impairing ventricular filling.",SUBSTITUTE,dermatomyositis,Pericardial effusion with cardiac tamponade,"The entities refer to different medical conditions, thus they are not comparable.",64572001,403959008,2,25
Environment or geographical location,,environment,health center,In our environment the most frequent cause is surgery of the split gland with a percentage of occurrence between 10 and 80%.,"Given the remote location of Luis's health center from the nearest hospital, initiating appropriate antibiotic therapy prior to",INCOMPARABLE,environment,health center,,276339004,264361005,2,6
Event,,steps,travel,This question is a bit convoluted for the diagnosis of Cushing's syndrome but easy if the steps are clear.,"Additionally, the patient's recent travel to Thailand, where freshwater activities increase the risk of exposure, further supports this diagnosis.",INCOMPARABLE,steps,travel,The entities 'steps' and 'travel' are not directly comparable in the given context as they refer to different aspects of the case: diagnostic procedures versus patient's travel history.,217093000,420008001,9,2
Morphologically abnormal structure,,lesion,mantle cell lymphoma,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia.","mantle cell lymphoma, marginal zone lymphoma) or reactive lymphocytosis, the patient's age, gradual increase in lymphocyte count, and absence of other specific diagnostic features (e.g.",INCOMPARABLE,lesion,mantle cell lymphoma,The entities 'lesion' and 'mantle cell lymphoma' are not directly comparable as they represent different types of medical conditions. A more appropriate comparison could be 'hemophilia' and 'mantle cell lymphoma'.,49755003,74654000,3,15
Observable entity,,diagnosis,walking,"Although other hemorrhagic diseases can have a prolonged thromboplastin time, due to the intensity of the lesion and the child's sex and family history, the most likely diagnosis is hemophilia.","LCS refers to the narrowing of the spinal canal in the lower back, which compresses the nerves and results in radiating pain, neurogenic claudication (pain exacerbated by walking or standing), and postural limitations, as observed in this case.",SUBSTITUTE,diagnosis,Lumbar canal stenosis,"The human excerpt discusses a diagnosis, while the model excerpt discusses a specific condition. A more appropriate comparison would be between the diagnosis in the human excerpt and the condition (Lumbar canal stenosis) in the model excerpt.",439401001,63448001,3,17
Organism,,dog,microorganism,"It is necessary to make sure that the dog is yours (you should ask if the animal is correctly vaccinated) and if the patient is correctly vaccinated (5 doses of tetanus, it would not require tetanus); make a notification of Animal Aggression, for observation of this and take measures in case this is necessary.",coli) is the most frequent microorganism causing urinary tract infections (UTIs).,INCOMPARABLE,dog,pathogen,"The entities 'dog' and 'microorganism' are not directly comparable in the given context. A more appropriate comparison would be 'pathogen' for both sides, as they both refer to agents that can cause infection.",69986009,264395009,16,3
Other or unclassified,case_041.txt,finding,impairing,Paradoxical pulse is a typical finding of cardiac tamponade.,"This diagnosis is supported by the symptoms of dyspnea and tachypnea, which are commonly associated with the accumulation of fluid in the pericardial sac, compressing the heart chambers and impairing ventricular filling.",SUBSTITUTE,symptom,effect,The original pair 'finding' and 'impairing' are not directly comparable terminologies in this context. A more appropriate comparison could be 'symptom' and 'effect' to emphasize the relationship between the patient's presentation and the consequences of pericardial effusion with cardiac tamponade.,246188002,403959008,1,25
Pharmaceutical / biologic product,,corticosteroids,prompt,"We would manage the patient with gabapentin and corticosteroids (true answer 4); we would not decrease the dose of morphine (false answer 3), and in the meantime we would ask for a CT scan (or abdominal MRI) to subsequently assess the plexus block (answers 1 and 2 for future management).","Given the patient's symptoms, an elevated CRP level would support the diagnosis of GCA, warranting further evaluation and prompt treatment to prevent potential vision loss or other complications.",SUBSTITUTE,corticosteroids therapy,treatment,"To better align with SNOMED depth, it's more appropriate to compare 'corticosteroids therapy' and 'treatment'.",79440004,88319002,6,20
Physical force,,floor,external fixator,"Fractures of the midface in the orbito-malar region may involve the floor and, to a lesser extent, the lateral wall of the orbit.","Option 4, the removal of the nail, debridement, placement of an external fixator, and antibiotherapy adjusted to culture results, is the most appropriate immediate therapeutic option in this case.",INCOMPARABLE,floor,external fixator,"The two entities 'floor' and 'external fixator' are not directly comparable as they represent different anatomical structures and medical devices, respectively.",709280007,278280003,2,10
Procedure,,surgical treatment,procedure,Isolated antibiotherapy (option 2) is indicated only in patients with severe comorbidity in whom surgical treatment would be more aggressive than continuing the disease.,"Thromboendartectomy (option 2) is an invasive procedure that may carry significant risks and potential complications,",INCOMPARABLE,surgical treatment,procedure,"The two texts discuss different medical conditions and treatments, making 'surgical treatment' and 'procedure' incomparable in this context.",9221009,71388002,21,1
SNOMED root,,specimen,impairing,"If biopsies confirm adenocarcinoma, there is no need to repeat them, since it is necessary to have the complete specimen.","This diagnosis is supported by the symptoms of dyspnea and tachypnea, which are commonly associated with the accumulation of fluid in the pericardial sac, compressing the heart chambers and impairing ventricular filling.",INCOMPARABLE,specimen,impairing,"The two excerpts discuss different medical conditions and entities, making a direct comparison between 'specimen' and 'impairing' inappropriate.",123038009,403959008,1,25
Situation with explicit context,,surgical treatment,properties,Isolated antibiotherapy (option 2) is indicated only in patients with severe comorbidity in whom surgical treatment would be more aggressive than continuing the disease.,"Option 2 (Lormetacepam) is the preferred choice in this case due to its selective benzodiazepine receptor agonist properties, specifically targeting the β-benzodiazepine receptor subtype, which is associated with sedative effects without significant muscle relaxant or anticonvulsant properties.",INCOMPARABLE,surgical treatment,properties,"The two excerpts discuss different medical topics (surgical treatment vs pharmacological properties), making a direct comparison inappropriate.",9221009,405648003,21,2
Social context,,turner,profession,"Answer 2 is false (Turner syndrome: low estradiol and elevated gonadotrophins), brain tumors affecting the hypothalamus-pituitary gland do not give low gonadotrophins (5 false), and it seems obvious that refractive defects do not give hemianopsia (3 and 4 false).","The patient's profession as a veterinarian, in charge of monitoring wild animals and assisting in the delivery of domestic livestock, increases her risk of exposure to infected animals.",SUBSTITUTE,Turner syndrome,occupation,The entities 'Turner syndrome' and 'occupation' (or 'profession') are not directly related in the given context. A more appropriate comparison could be 'Turner syndrome' and 'risk factors' or 'underlying conditions'.,751008,14679004,11,2
Special concept,,action,impairing,"We are not told that he has any contraindication to fibrinolysis, so this would be the most appropriate option due to its rapid administration and action.","This diagnosis is supported by the symptoms of dyspnea and tachypnea, which are commonly associated with the accumulation of fluid in the pericardial sac, compressing the heart chambers and impairing ventricular filling.",SUBSTITUTE,intervention,effect,"In this context, 'action' from the human side refers to a medical intervention, while 'impairing' from the model side refers to an effect. A more accurate comparison would be 'intervention' and 'effect'.",129264002,403959008,4,25
Specimen,,specimen,trophoblastic tissue,"If biopsies confirm adenocarcinoma, there is no need to repeat them, since it is necessary to have the complete specimen.","Incomplete evacuation of trophoblastic tissue can lead to persistent elevated hCG levels and the development of gestational trophoblastic neoplasia (GTN), a rare but potentially life-threatening condition.",INCOMPARABLE,specimen,trophoblastic tissue,"The entities 'specimen' and 'trophoblastic tissue' are not directly comparable as they refer to different types of biological material in different contexts. 'Specimen' generally refers to a sample of tissue or fluid taken for examination, while 'trophoblastic tissue' specifically refers to the outer layer of cells that forms the placenta in a pregnancy.",123038009,399658009,1,8
Substance,,drug,rt-pa,A very effective drug if everyone is forewarned.,"Among the provided treatment options, systemic fibrinolysis with rt-PA (alteplase) 100 mg intravenous (option 3) would be the most appropriate choice for this critical situation.",SUBSTITUTE,medication,alteplase,,2533004,387152000,2,22
