category,case_stem,orig_entity_a,orig_entity_b,context_sentence_a,context_sentence_b,llm_decision,final_entity_a,final_entity_b,rationale,orig_concept_a,orig_concept_b,orig_depth_a,orig_depth_b
Per-case same string,case_029.txt,soft drusen,soft drusen,The key to differentiate between the other four is that he had soft drusen in the fundus.,"In the presented case, a 75-year-old woman with a known history of soft drusen in the fundus has recently developed significant visual loss and metamorphopsia in her right eye.",KEEP,soft drusen,soft drusen,Both 'soft drusen' in human and model excerpts refer to the same clinical entity in this case.,420272005,420272005,18,18
Per-case same string,case_008.txt,biopsy,biopsy,The biopsy should be muscular and not subcutaneous.,"The diagnostic tests most useful for this case would be biopsy of subcutaneous cellular tissue (Option 3) to evaluate histopathological changes and determine the specific type of vasculitis, and the determination of anti-smooth muscle antibodies (Option 4) to aid in the diagnosis of systemic scleroderma, a connective …",KEEP,biopsy,biopsy,,86273004,86273004,11,11
Per-case same string,case_054.txt,external fixator,external fixator,"- Curative treatment: includes a first surgery with aggressive tumor-like debridement of all affected tissues, profuse irrigation, stabilization with external fixator if stability is compromised, and eventual filling of the cavities with antibiotic-releasing substances.","Given the patient's advanced age, comorbidities, and history of a complicated tibial fracture with the development of atrophic pseudarthrosis and suppuration, the best immediate therapeutic option would likely be a combination of surgical debridement, removal of the nail, and external fixator application, along with t…",KEEP,external fixator,external fixator,,278280003,278280003,10,10
Per-case same string,case_049.txt,pattern,pattern,"The Hyper-IgE option lacks very characteristic clinical data such as bone alterations and skin lesions, which are not atopic dermatitis, since they follow a different pattern (papulopustular rash on the face and scalp).","This pattern is consistent with Hyper IgE syndrome (HIES), also known as Job syndrome, where there is overproduction of IgE and recurrent infections.",KEEP,pattern,pattern,,255711007,255711007,3,3
Per-case same string,case_045.txt,diagnosis,diagnosis,In this question we are presented with a case to deduce a diagnosis and then indicate which would be the treatment of choice.,"Given the absence of any neurological deficits or abnormalities on examination or MRI, the most likely diagnosis for this symptomatology is Cluster Headache (CH).",KEEP,diagnosis,diagnosis,,439401001,439401001,3,3
Per-case same string,case_031.txt,colon cancer,colon cancer,"By rule 1 would be easy to eliminate, the treatment of colon cancer is surgical (with neoadjuvant in rectal cancer).","MCC is a rare subtype of colon cancer, accounting for less than 1% of all colon cancers.",KEEP,colon cancer,colon cancer,Both 'colon cancer' strings refer to the same clinical entity in this case.,31001000119109,31001000119109,14,14
Per-case same string,case_028.txt,polyangiitis,polyangiitis,"In this patient, he presents with a granulomatosis with polyangiitis formerly known as Wegener's granulomatosis.","The most probable initial diagnosis in this case appears to be Granulomatosis with polyangiitis (GPA), previously known as Wegener's granulomatosis.",KEEP,polyangiitis,polyangiitis,,46956008,46956008,12,12
Per-case same string,case_110.txt,hyperkalemia,hyperkalemia,"The first step is the administration of iv calcium gluconate to counteract the cardiac toxicity of hyperkalemia (option 3 correct), giving us more time to initiate hypokalemic treatments (initially saline glucose with insulin, salbutamol, furosemide, and assessing dialysis if there is no good response).","The first measure to take in this critical situation is the urgent initiation of dialysis (Option 2), as severe hyperkalemia (K 7 mEq/l) in a patient with advanced CKD (G4, eGFR 20 ml/min) carries a high risk of life-threatening cardiac arrhythmias.",KEEP,hyperkalemia,hyperkalemia,,14140009,14140009,11,11
Per-case same string,case_024.txt,mean arterial pressure,mean arterial pressure,Cerebral perfusion pressure is mean arterial pressure minus intracranial pressure.,"Option 2 - ""Cerebral perfusion pressure is mean arterial pressure plus intracranial pressure"" is correct, as cerebral perfusion pressure",KEEP,mean arterial pressure,mean arterial pressure,,1285244000,1285244000,10,10
Per-case same string,case_122.txt,case,case,"Option 4 also seems unlikely, since in IgA myeloma we would expect a monoclonal peak of this Ig, which in this case does not appear.",The presented case suggests a primary plasma cell disorder involving abnormal immunoglobulin and renal involvement.,SUBSTITUTE,case,primary plasma cell disorder,"The human excerpt does not explicitly mention a specific clinical entity, while the model excerpt refers to a 'primary plasma cell disorder'. To compare SNOMED depth, it's necessary to have a more specific term from the human excerpt.",398241000,398241000,3,3
