File	KPF	Left Context	Hit	Right Context
corpus_a_merged.txt	14	the orbit (option 3 discarded).We are being described an acute pain crisis in a 	patient 	with gonarthrosis.  In this situation, the first thing to do is to resolve 
corpus_a_merged.txt	14	an arthritis that would justify a debridement and washing so 3 is false.  In a 	patient 	with gonarthrosis there will always be meniscopathy, it is part of the degenerative 
corpus_a_merged.txt	13	option is that she was studying the MIR).We describe the case of a 	patient 	with a hyperkalemic emergency (potassium >6.5 mmol/l with ECG alterations).  The first step 
corpus_a_merged.txt	13	the presence of panagglutinin.Direct response question.  The question tells the story of a 	patient 	with acute pancreatitis who is developing acute respiratory failure.  The statement lists the 
corpus_a_merged.txt	13	three options.  An autologous transplant is not reasonable, since the bone marrow of a 	patient 	with bone marrow aplasia is less than 25%, so little can be obtained.  Therefore, 
corpus_a_merged.txt	13	will not reduce the dose but will associate the adjuvants.  We would manage the 	patient 	with gabapentin and corticosteroids (true answer 4); we would not decrease the dose of 
corpus_a_merged.txt	13	the correct one, due to the low probability of P. jirovecii infection in a 	patient 	with more than 500 CD4 lymphocytes and undetectable viral load.  It is most likely 
corpus_a_merged.txt	13	is also ruled out, because it usually occurs in older patients, although what a 	patient 	with myopia magna may present with is myopic macular degeneration (with a similar 
corpus_a_merged.txt	13	right border (think of the direction of blood flow).We have before us a 	patient 	with neuropathic pain, which due to the origin of the tumor, is most 
corpus_a_merged.txt	13	indicated due to the high risk of possible complications.We are presented with a 	patient 	with resistant arterial hypertension, assuming that he has primary hyperaldosteronism due to hypokalemic 
corpus_a_merged.txt	13	will happen is that the v wave will be very large?This is a 	patient 	with rheumatoid arthritis.  In my opinion, as in these six months she has 
corpus_a_merged.txt	8	at 15 days or later).Orthosis.  Cobb angle between 25º - 45º.  Immature skeleton (Risser 0).The 	patient 	is already diagnosed with chronic lymphocytic leukemia B (B-CLLL), presents lymphocytosis that 
corpus_a_merged.txt	8	characteristic of ulcerative colitis and Crohn's disease) support this diagnosis.Since a splenectomized 	patient 	is considered a "special" patient, he should receive antibiotic treatment as soon as 
corpus_a_merged.txt	8	is yours (you should ask if the animal is correctly vaccinated) and if the 	patient 	is correctly vaccinated (5 doses of tetanus, it would not require tetanus); make a 
corpus_a_merged.txt	8	antecedents are there).  In addition, it is only 3 weeks since the contact, so our 	patient 	is probably in the "window period" during which serological techniques may be unprofitable.  
