term,mean_tfidf_a,mean_tfidf_b,difference_a_minus_b
we,0.03669571165876573,0.003406636035509651,0.03328907562325608
is,0.08599995493457298,0.05811066294087926,0.02788929199369372
answer,0.026018646041631045,0.00046590114382871387,0.02555274489780233
not,0.042260863175758036,0.020390824708687298,0.021870038467070738
it,0.03992495698049526,0.01850320809048714,0.02142174889000812
that,0.03422985158099013,0.015207155800737041,0.01902269578025309
there,0.0185980768384563,0.0013068266509288248,0.017291250187527474
be,0.03618764777769773,0.020652705403331792,0.015534942374365937
if,0.020705842809290262,0.005464728325293074,0.015241114483997188
would,0.026737580207163807,0.011786807348248808,0.014950772858915
with,0.05610416780638893,0.04141690584062194,0.014687261965766994
one,0.018206057771885893,0.003593499037664515,0.014612558734221378
correct,0.02123763334373937,0.007168156205498366,0.014069477138241002
picture,0.014574466534133898,0.0006907593600774875,0.01388370717405641
should,0.01756161277425131,0.0038077490712660617,0.013753863702985248
but,0.0251572756253862,0.012189283369024768,0.012967992256361433
to,0.062297300466190614,0.04973672444945027,0.012560576016740342
have,0.02151058650855485,0.009977137152437638,0.011533449356117212
usually,0.013833918936146406,0.0030493282628485502,0.010784590673297855
since,0.011763458695051014,0.0010255003639551416,0.010737958331095872
because,0.013286144738736051,0.0029735526298562912,0.01031259210887976
will,0.012816744669406983,0.0032254284973114,0.009591316172095583
patients,0.01631182802736359,0.007101144835802892,0.009210683191560699
typical,0.013332701163448278,0.004185375631240433,0.009147325532207845
has,0.016119694735722803,0.0070566357070004655,0.009063059028722337
false,0.010456728630197594,0.0014505569195433885,0.009006171710654206
out,0.013797018798617082,0.0048854801762893175,0.008911538622327764
he,0.009527441600651101,0.0012043251973878895,0.008323116403263211
also,0.017914628165447904,0.009649419573087535,0.008265208592360369
rule,0.01148722249428627,0.0034000013227938356,0.008087221171492433
at,0.0167698568598865,0.008762011298056326,0.008007845561830172
only,0.011243740251261387,0.0033710126857175787,0.00787272756554381
probably,0.009586467109507755,0.0019469410603544465,0.007639526049153309
does,0.013600374457863934,0.006108326738746317,0.007492047719117618
they,0.014647871317251843,0.007199133321506445,0.007448737995745398
therefore,0.012243010197276923,0.004901955417816784,0.007341054779460138
described,0.007839981723285396,0.0009706415889485861,0.00686934013433681
clear,0.007404564856784182,0.0006165734395265618,0.006787991417257621
first,0.011808912958565567,0.0052753757068188046,0.006533537251746762
do,0.012483913620524622,0.005959348172847901,0.006524565447676722
according,0.007031847274977384,0.0005112974328001282,0.0065205498421772555
especially,0.008175183215615844,0.0018981224494163493,0.006277060766199495
about,0.007590756655040216,0.0014775255968777481,0.006113231058162468
than,0.011874608281129354,0.005854556604209971,0.006020051676919384
in,0.06505531545922197,0.0591404599827094,0.005914855476512569
incorrect,0.008203208829754718,0.0023223002176896036,0.0058809086120651145
are,0.032568089957048976,0.02671335433529583,0.005854735621753145
all,0.007516412972568326,0.0016736513500329045,0.005842761622535422
criteria,0.0068100898675115765,0.0009804795093616473,0.005829610358149929
between,0.010814195295019683,0.005078969988129775,0.005735225306889908
treatment,0.02285490734518658,0.017198856483107275,0.0056560508620793065
could,0.011951965054594156,0.006347530461631325,0.005604434592962831
she,0.007273923710669939,0.0018714409979503903,0.005402482712719549
performed,0.00804388486364028,0.0027123948342560695,0.005331490029384211
asymptomatic,0.006752533087057,0.001609317206754168,0.005143215880302832
no,0.01165862964090103,0.006590404102316179,0.005068225538584851
sleep,0.0059004473394672656,0.0009804795093616473,0.004919967830105619
frequent,0.006867998683348013,0.0019860603242639937,0.004881938359084019
clinical,0.013815393477965746,0.008964525324324872,0.004850868153640874
suspicion,0.00748562163436088,0.0027452395002759817,0.004740382134084899
fact,0.004800967745510533,0.0004889915260752262,0.004311976219435307
evolution,0.005332670130807923,0.001042127949228498,0.004290542181579425
even,0.005513720342893901,0.0012761561124142245,0.004237564230479677
possible,0.00706569797711556,0.002858603137545339,0.00420709483957022
being,0.006914853080390401,0.0027507791662940945,0.004164073914096306
involvement,0.012454969265543809,0.00835565373887514,0.00409931552666867
mri,0.007037387107039369,0.002938239893363158,0.004099147213676211
give,0.005049865364804813,0.0010366540617653857,0.004013211303039427
initiate,0.004970691166857758,0.0009795425950996253,0.003991148571758132
bronchiolitis,0.005234417665479062,0.0012893249254213714,0.003945092740057691
number,0.0048545021101099334,0.0009241454568901366,0.003930356653219797
been,0.007903316701411041,0.004002284270051693,0.003901032431359348
limb,0.005655837641345907,0.001795632701841091,0.0038602049395048163
appear,0.005421209036908015,0.0016481511538161404,0.003773057883091874
oral,0.004800689328986125,0.0010366540617653857,0.0037640352672207392
after,0.006982780223413321,0.0033816005120645577,0.0036011797113487632
more,0.016638909751981127,0.013040057177659192,0.003598852574321935
women,0.00468539396109024,0.0011045330194565548,0.003580860941633685
large,0.004354674237852504,0.0008339925021561913,0.0035206817356963132
